"","id","challenge_1","challenge_2","challenge_3","challenge_4","challenge_5","att_challenge_1","att_challenge_2","att_challenge_3","att_challenge_4","att_challenge_5","criticism_1","criticism_2","criticism_3","criticism_4","criticism_5","att_criticism_1","att_criticism_2","att_criticism_3","att_criticism_4","att_criticism_5","failure_sc_1","failure_sc_2","criticism_sc_1","criticism_sc_2","challenge_sc","iq_ms_1","iq_ms_2","failure_ms_1","failure_ms_2","failure_ms_3","failure_ms_4","criticism_ms_1","criticism_ms_2","criticism_ms_3","criticism_ms_4","challenge_ms_1","challenge_ms_2","challenge_ms_3","challenge_ms_4","ego_res_1","ego_res_2","ego_res_3","ego_res_4","ego_res_5","ego_res_6","ego_res_7","ego_res_8","ego_res_9","ego_res_10","ego_res_11"
"29","R_27QpOk8eryuCDAX","Célok","Élet","Egyetem","Gyermekvállalás","Győzelem","pozitív","pozitív","inkább pozitív","inkább pozitív","pozitív","Pozitív","Negatív","Építő","Őszinte","Lehangoló","pozitív","pozitív","inkább pozitív","pozitív","negatív","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Egyáltalán nem valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A nehéz feladatot, ahol valószínűleg tanulok valami újat.","Egyáltalán nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Nem értek egyet","Nem értek egyet","Teljes mértékben egyetértek","Egyetértek","Nem értek egyet","Nem értek egyet","Inkább egyetértek","Teljes mértékben egyetértek","Egyáltalán nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Egyetértek","Inkább egyetértek","Egyetértek","Teljes mértékben egyetértek","Teljes mértékben egyetértek","Egyetértek","Egyetértek","Egyetértek"
"30","R_1itAvdjwS3KshhR","motiváció","lehetőség","siker","bukás","bátorság","pozitív","inkább pozitív","pozitív","negatív","inkább pozitív","építő","negatív","lehetőség","fejlődés","vélemény","inkább pozitív","negatív","inkább pozitív","pozitív","semleges","Kevésbé valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Egyetértek","Nem értek egyet","Nem értek egyet","Inkább egyetértek","Egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Egyetértek","Nem értek egyet","Egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Egyetértek","Inkább egyetértek","Teljes mértékben egyetértek"
"31","R_3nIOFHtfsvbbOXV","teljesíthető","képesnek lenni","szenvedés","túlesni rajta","átvágni az akadályokon","pozitív","pozitív","negatív","semleges","pozitív","építő","fájdalmas","tanulságos","objektív","értékelhetetlen","pozitív","negatív","pozitív","pozitív","negatív","Talán így gondolnám.","Talán így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Nem értek egyet","Nem értek egyet","Egyáltalán nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Egyetértek","Egyetértek","Egyetértek","Egyetértek","Nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Teljes mértékben egyetértek","Egyetértek","Inkább egyetértek","Nem értek egyet","Inkább egyetértek","Egyetértek","Egyáltalán nem értek egyet","Inkább egyetértek","Egyetértek"
"32","R_1fg44S3RBrU2578","küzdelem","siker","fáradság","félelem","elakadás","inkább pozitív","pozitív","semleges","inkább negatív","negatív","felesleges","sértő","kelemetlen","elnyomó","folyamatos","semleges","negatív","inkább negatív","inkább negatív","negatív","Nagyon valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Egyáltalán nem valószínű, hogy így gondolnám.","Talán így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Egyetértek","Egyetértek","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Egyetértek","Teljes mértékben egyetértek","Nem értek egyet","Nem értek egyet","Egyetértek","Teljes mértékben egyetértek","Egyáltalán nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Nem értek egyet","Inkább egyetértek","Inkább egyetértek"
"33","R_3n0hLMxzUWTGshA","Siker","Szerencse","Uj dolgok","Uj emberek","Nyeres","pozitív","pozitív","pozitív","pozitív","pozitív","Negativ","Pozitiv","Igazsag","Hazugsag","Mas velemenye","negatív","pozitív","pozitív","negatív","semleges","Egyáltalán nem valószínű, hogy így gondolnám.","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","A nehéz feladatot, ahol valószínűleg tanulok valami újat.","Nem értek egyet","Nem értek egyet","Nem értek egyet","Inkább egyetértek","Nem értek egyet","Egyetértek","Inkább egyetértek","Nem értek egyet","Nem értek egyet","Nem értek egyet","Teljes mértékben egyetértek","Egyetértek","Nem értek egyet","Nem értek egyet","Inkább egyetértek","Teljes mértékben egyetértek","Egyetértek","Teljes mértékben egyetértek","Teljes mértékben egyetértek","Teljes mértékben egyetértek","Egyetértek","Teljes mértékben egyetértek","Egyetértek","Egyetértek","Egyetértek"
"34","R_2fjm4MfW0YQCm3B","önfejlesztés","feladat","fejlődés","motiváció","győzelem","pozitív","semleges","pozitív","pozitív","pozitív","építő","fejlődés","zsűri","megküzdés","átértékelés","pozitív","pozitív","semleges","inkább pozitív","inkább pozitív","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A nehéz feladatot, ahol valószínűleg tanulok valami újat.","Nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Inkább egyetértek","Inkább egyetértek","Egyetértek","Nem értek egyet","Egyáltalán nem értek egyet","Egyetértek","Inkább egyetértek","Nem értek egyet","Nem értek egyet","Egyetértek","Teljes mértékben egyetértek","Inkább nem értek egyet","Egyetértek","Egyetértek","Inkább nem értek egyet","Inkább egyetértek","Teljes mértékben egyetértek","Nem értek egyet","Egyáltalán nem értek egyet","Egyetértek"
"35","R_3pncL3XOgChEpqw","Feladat","Megvalósítandó","Élmény","Fejlődés","Teljesítés","semleges","inkább pozitív","pozitív","pozitív","semleges","Vélemény","Építés","Szívbemarkoló","Lehúzás","Értékelés","pozitív","pozitív","inkább negatív","negatív","semleges","Egyáltalán nem valószínű, hogy így gondolnám.","Egyáltalán nem valószínű, hogy így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A nehéz feladatot, ahol valószínűleg tanulok valami újat.","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Egyáltalán nem értek egyet","Nem értek egyet","Egyetértek","Inkább egyetértek","Egyáltalán nem értek egyet","Nem értek egyet","Egyetértek","Egyetértek","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Egyetértek","Egyetértek","Teljes mértékben egyetértek"
"36","R_3fldiDLtkZ5DYNX","Tárgyak","Kapcsolat","Időbeosztás","Döntéshozatal","Építkezés","inkább negatív","semleges","inkább negatív","inkább negatív","inkább pozitív","Értékelés","Véleménynyilvánítás","Önkritika","Ítélkezés","Hír","inkább pozitív","pozitív","inkább negatív","negatív","inkább pozitív","Teljes mértékben így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Nem értek egyet","Egyetértek","Nem értek egyet","Nem értek egyet","Egyetértek","Egyetértek","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Inkább egyetértek","Inkább egyetértek","Egyetértek","Egyetértek","Inkább egyetértek","Egyetértek","Inkább nem értek egyet","Inkább egyetértek","Egyetértek","Teljes mértékben egyetértek","Teljes mértékben egyetértek","Inkább egyetértek"
"37","R_3LZ8RbLqDbEKZYt","Cél","Eszköz","Előre","Tárgy","Párbaj","pozitív","semleges","pozitív","inkább pozitív","semleges","Bíró","Bírálat","Vélemény","Szobor","Madagaszkár","inkább pozitív","inkább negatív","pozitív","semleges","pozitív","Kevésbé valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","Egyáltalán nem valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Inkább nem értek egyet","Teljes mértékben egyetértek","Nem értek egyet","Inkább nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Nem értek egyet","Egyetértek","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Inkább egyetértek","Egyetértek","Teljes mértékben egyetértek","Inkább egyetértek","Inkább egyetértek","Egyetértek","Nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Egyetértek"
"38","R_W0ChFBIDYmdEfZf","Hegymászás","Elszántság","Türelem","Erő","Akaraterő","pozitív","pozitív","pozitív","pozitív","pozitív","Rossz érzés","Építő jellegű","Szigorú ember","Showműsor","Bántó szavak","negatív","pozitív","semleges","inkább pozitív","negatív","Kevésbé valószínű, hogy így gondolnám.","Talán így gondolnám.","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Nem értek egyet","Nem értek egyet","Nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Egyáltalán nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet"
"39","R_2D6N09pGDcV8wEV","Feladat","Küldetés","Túra","Menet","Nehézség","semleges","inkább pozitív","inkább pozitív","semleges","negatív","Puzsér Róbert","Vélemény","Negatív","Rosszalló","Szöveg","inkább negatív","semleges","negatív","negatív","semleges","Nagyon valószínű, hogy így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Talán így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Egyetértek","Egyetértek"
"40","R_3nI2ydtdX8xtIs8","Akadály","Nehéz","Negatív tényező","Legyőzés","Lehetőség","inkább pozitív","pozitív","negatív","inkább pozitív","pozitív","Vita","Értékelés","Elégetlenség","Beszólás","Irigység","pozitív","semleges","negatív","negatív","negatív","Egyáltalán nem valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A nehéz feladatot, ahol valószínűleg tanulok valami újat.","Egyáltalán nem értek egyet","Egyetértek","Inkább nem értek egyet","Inkább egyetértek","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Egyetértek","Nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Egyetértek","Egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Egyetértek","Teljes mértékben egyetértek","Nem értek egyet","Inkább egyetértek","Nem értek egyet"
"41","R_25MeFqPhw9NPGct","Verseny","Megmérettetés","Fejlődés","Nehézség","Versenyszellem","inkább pozitív","inkább pozitív","inkább pozitív","semleges","inkább pozitív","Tanulsàg","Rosszindulat","Épitő","Verseny","Tehetség","inkább pozitív","negatív","inkább pozitív","inkább pozitív","inkább pozitív","Egyáltalán nem valószínű, hogy így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Egyetértek","Inkább nem értek egyet","Egyáltalán nem értek egyet","Egyetértek","Inkább egyetértek","Nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Egyetértek","Teljes mértékben egyetértek","Nem értek egyet","Inkább egyetértek","Teljes mértékben egyetértek"
"42","R_bf8wtnrheuZy45r","Vizsga","Angol","Statisztika","Szocialpolitika","Szegenyseg","negatív","inkább negatív","negatív","semleges","negatív","Politika","Újságírás","Színház","Értékelés","Ellenzék","inkább negatív","inkább pozitív","pozitív","pozitív","inkább pozitív","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Egyáltalán nem valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Inkább nem értek egyet","Egyáltalán nem értek egyet","Nem értek egyet","Teljes mértékben egyetértek","Egyetértek","Egyáltalán nem értek egyet","Nem értek egyet","Egyetértek","Egyetértek","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Egyetértek","Egyáltalán nem értek egyet","Inkább egyetértek","Inkább egyetértek","Egyetértek","Egyetértek","Inkább nem értek egyet","Egyetértek","Egyetértek","Teljes mértékben egyetértek","Teljes mértékben egyetértek"
"43","R_9SkPWERiKbifQ7n","nehézség","szorgalom","türelem","fáradság","áldozat","negatív","inkább pozitív","pozitív","negatív","inkább pozitív","építő","sértő","segítség","bántás","tanulás","pozitív","negatív","pozitív","negatív","semleges","Kevésbé valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Nem értek egyet","Nem értek egyet","Egyáltalán nem értek egyet","Inkább nem értek egyet","Egyetértek","Teljes mértékben egyetértek","Nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Egyetértek","Nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Inkább egyetértek","Nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Egyetértek","Egyetértek","Inkább nem értek egyet","Nem értek egyet","Egyáltalán nem értek egyet"
"44","R_3h9nFgfeXVKv35m","Feladat","Nehézség","Lehetőség","Próba","Siker","semleges","negatív","inkább pozitív","inkább pozitív","pozitív","Fájdalom","Ésszerű","Építés","Düh","Újságírók","negatív","inkább pozitív","inkább pozitív","negatív","semleges","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Talán így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Inkább nem értek egyet","Inkább nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Nem értek egyet","Inkább egyetértek","Nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Nem értek egyet","Egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek"
"45","R_SIVaxrLZzpQftct","próba","feladat","felmérés","küzdelem","vetélkedés","semleges","semleges","semleges","inkább pozitív","inkább pozitív","elemzés","értékelés","hibajavítás","vélemény","visszajelzés","semleges","semleges","pozitív","semleges","semleges","Nagyon valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","Talán így gondolnám.","Teljes mértékben így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Egyetértek","Egyetértek","Nem értek egyet","Inkább nem értek egyet","Teljes mértékben egyetértek","Egyetértek","Nem értek egyet","Egyáltalán nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Egyetértek","Egyetértek","Egyetértek","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Egyetértek","Nem értek egyet","Nem értek egyet","Inkább egyetértek"
"46","R_3oNjTkTZVNvL04z","Akadály","Kitartás","Erőfeszítés","Cél","Félelem","inkább negatív","inkább pozitív","semleges","pozitív","negatív","Ítélet","Vélemény","Álláspont","Ellentét","Becsmérel","inkább negatív","semleges","semleges","inkább negatív","negatív","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Egyáltalán nem valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Nem értek egyet","Nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Egyetértek","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet"
"47","R_2cbVunxeLBX454k","Feladat","Akarat","Alapos","Erő","Kaland","semleges","pozitív","pozitív","pozitív","pozitív","Feladat","Szigor","Negatív","Őszinte","Írás","semleges","inkább negatív","negatív","pozitív","semleges","Teljes mértékben így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","Teljes mértékben így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Egyetértek","Egyetértek","Egyetértek","Egyetértek","Egyáltalán nem értek egyet","Inkább nem értek egyet","Teljes mértékben egyetértek","Egyetértek","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Egyetértek","Teljes mértékben egyetértek","Inkább nem értek egyet","Nem értek egyet","Egyetértek","Teljes mértékben egyetértek","Egyetértek","Inkább nem értek egyet","Egyetértek","Inkább egyetértek","Inkább egyetértek","Egyetértek","Egyetértek","Egyetértek","Teljes mértékben egyetértek"
"48","R_UsjhahE7PX8QqC5","Erofeszites","Elorelepes","Nehez","Szemelyisegfejlodes","Munkahely","inkább pozitív","pozitív","negatív","pozitív","semleges","Negativ","Pozitiv","Velemeny","Sertes","Onbecsules","inkább negatív","pozitív","inkább pozitív","negatív","semleges","Teljes mértékben így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Nem értek egyet","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Inkább egyetértek","Egyetértek","Inkább nem értek egyet","Egyáltalán nem értek egyet","Nem értek egyet","Teljes mértékben egyetértek","Egyetértek","Egyetértek","Egyáltalán nem értek egyet","Nem értek egyet","Egyetértek","Inkább egyetértek","Egyetértek","Inkább nem értek egyet","Egyetértek","Teljes mértékben egyetértek","Egyetértek","Teljes mértékben egyetértek","Nem értek egyet","Egyáltalán nem értek egyet","Teljes mértékben egyetértek"
"49","R_1mtnDPEK93OtI08","feladat","megoldás","kitatás","nehéz","képesség","semleges","pozitív","inkább pozitív","inkább negatív","pozitív","ítélkezés","elfogadható","gonosz","nyílvános","híresség","negatív","semleges","negatív","inkább negatív","semleges","Teljes mértékben így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Talán így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Egyetértek","Inkább nem értek egyet","Nem értek egyet","Nem értek egyet","Inkább egyetértek","Nem értek egyet","Egyetértek","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Nem értek egyet","Nem értek egyet","Egyetértek","Teljes mértékben egyetértek","Inkább egyetértek","Inkább nem értek egyet","Egyetértek","Teljes mértékben egyetértek","Inkább egyetértek","Inkább egyetértek"
"50","R_294Ytzq6Y3bIzDr","verseny","challange","teljesítmény","küzdelem","eredmény","inkább pozitív","pozitív","pozitív","inkább negatív","pozitív","építő","segítég","rosszindulat","film","étel","pozitív","pozitív","negatív","inkább pozitív","inkább pozitív","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Talán így gondolnám.","Teljes mértékben így gondolnám.","A nehéz feladatot, ahol valószínűleg tanulok valami újat.","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Egyetértek","Nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Nem értek egyet","Teljes mértékben egyetértek","Egyetértek","Nem értek egyet","Nem értek egyet","Teljes mértékben egyetértek","Inkább egyetértek","Teljes mértékben egyetértek","Teljes mértékben egyetértek","Teljes mértékben egyetértek","Egyetértek","Egyetértek","Teljes mértékben egyetértek","Teljes mértékben egyetértek","Teljes mértékben egyetértek","Egyetértek"
"51","R_1CIQj3mfg0EqVgC","Egyetem","Tanulás","Sport","Alázat","Kitartás","pozitív","pozitív","pozitív","pozitív","pozitív","Gondolkodás","Megfelelés","Igazság","Hazugság","Rossz","inkább pozitív","inkább negatív","pozitív","negatív","negatív","Nagyon valószínű, hogy így gondolnám.","Talán így gondolnám.","Talán így gondolnám.","Talán így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Egyáltalán nem értek egyet","Egyetértek","Inkább nem értek egyet","Egyetértek","Egyetértek"
"52","R_1oin1A8YuYdj7pa","Feladat","Siker","Út","Kudarc","Törekvés","semleges","pozitív","semleges","negatív","inkább pozitív","Negatív","Pozitív","Segítség","Visszajelzés","Self","negatív","pozitív","inkább pozitív","inkább pozitív","semleges","Teljes mértékben így gondolnám.","Talán így gondolnám.","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Egyetértek","Inkább egyetértek","Nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Inkább egyetértek","Egyetértek","Egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Egyetértek","Egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet"
"53","R_21HugvOXtMXNbuJ","akadály","megmérettetés","párbaj","legyőzni","ellenfél","inkább negatív","semleges","semleges","inkább pozitív","inkább negatív","kritikus","film","műfaj","építő","illet","semleges","semleges","semleges","inkább pozitív","semleges","Egyáltalán nem valószínű, hogy így gondolnám.","Talán így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Nem értek egyet","Nem értek egyet","Egyáltalán nem értek egyet","Nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Egyetértek","Inkább egyetértek","Nem értek egyet","Nem értek egyet","Inkább egyetértek","Egyetértek","Nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Teljes mértékben egyetértek","Egyetértek","Egyetértek","Nem értek egyet","Egyetértek","Teljes mértékben egyetértek","Inkább nem értek egyet","Teljes mértékben egyetértek"
"54","R_1M5vTsVQLmGag1i","Erő","Akarat","Energia","Boldogság","Akadály","pozitív","pozitív","pozitív","pozitív","pozitív","Építő","Tanulság","Újrakezdés","Esély","Javulás","pozitív","pozitív","pozitív","pozitív","pozitív","Kevésbé valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","A nehéz feladatot, ahol valószínűleg tanulok valami újat.","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Nem értek egyet","Inkább egyetértek","Nem értek egyet","Egyáltalán nem értek egyet","Inkább egyetértek","Egyetértek","Nem értek egyet","Nem értek egyet","Teljes mértékben egyetértek","Teljes mértékben egyetértek","Egyáltalán nem értek egyet","Nem értek egyet","Egyetértek","Inkább egyetértek","Teljes mértékben egyetértek","Egyetértek","Egyetértek","Egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Egyetértek","Inkább egyetértek"
"55","R_272o0DayHiVKyg1","ellenfél","megmérettetes","párbaj","küzdelem","bajnokság","semleges","semleges","semleges","semleges","semleges","visszajelzes","bírálat","értékelés","minősítés","pontozás","semleges","inkább negatív","semleges","inkább negatív","semleges","Egyáltalán nem valószínű, hogy így gondolnám.","Talán így gondolnám.","Egyáltalán nem valószínű, hogy így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Nem értek egyet","Nem értek egyet","Nem értek egyet","Nem értek egyet","Inkább egyetértek","Egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Egyetértek","Egyetértek","Nem értek egyet","Inkább nem értek egyet","Egyetértek","Egyetértek","Egyetértek","Teljes mértékben egyetértek","Egyetértek","Egyetértek","Nem értek egyet","Egyetértek","Teljes mértékben egyetértek","Inkább nem értek egyet","Egyetértek"
